n,c,s,c/n,s/n
1000,9262.65,5896.25,9.26,5.89
2000,19175.67,12187.66,9.58,6.09
3000,28774.69,18321.00,9.59,6.10
4000,38539.20,24506.84,9.63,6.12
5000,48857.33,31220.05,9.77,6.24
6000,57402.50,36672.15,9.56,6.11
7000,68057.99,43361.27,9.72,6.19
8000,78234.92,49994.46,9.77,6.24
9000,87430.93,55738.76,9.71,6.19
10000,98135.57,62679.77,9.81,6.26
11000,108527.01,69127.07,9.86,6.28
12000,117843.27,75466.21,9.82,6.28
13000,128306.57,81984.73,9.86,6.30
14000,138320.80,88419.92,9.88,6.31
15000,147450.57,93941.22,9.83,6.26
16000,158085.44,100939.02,9.88,6.30
17000,167886.26,107417.94,9.87,6.31
18000,175444.71,112605.81,9.74,6.25
19000,186127.60,118926.05,9.79,6.25
20000,197599.11,126608.86,9.87,6.33
21000,207602.11,132752.13,9.88,6.32
22000,216310.97,138612.48,9.83,6.30
23000,227124.99,145075.66,9.87,6.30
24000,237214.55,152117.04,9.88,6.33
25000,247762.19,158308.33,9.91,6.33
26000,255656.47,163384.69,9.83,6.28
27000,265480.48,169819.16,9.83,6.28
28000,278163.10,177673.55,9.93,6.34
29000,285894.51,182724.84,9.85,6.30
30000,296885.81,190279.67,9.89,6.34
31000,302550.88,193566.60,9.75,6.24
32000,315955.97,201543.95,9.87,6.29
33000,326664.74,209180.72,9.89,6.33
34000,337600.80,215704.76,9.92,6.34
35000,344513.38,220336.34,9.84,6.29
36000,357524.42,228353.88,9.93,6.34
37000,363641.69,233375.34,9.82,6.30
38000,374077.68,238580.08,9.84,6.27
39000,386203.40,247294.47,9.90,6.34
40000,396623.08,253564.32,9.91,6.33
41000,404860.27,259199.34,9.87,6.32
42000,416653.64,266281.55,9.92,6.34
43000,426190.06,272755.66,9.91,6.34
44000,434794.36,278351.36,9.88,6.32
45000,447046.61,285930.36,9.93,6.35
46000,455665.16,291642.02,9.90,6.34
47000,461017.17,295748.18,9.80,6.29
48000,476536.44,304487.04,9.92,6.34
49000,483540.59,310132.02,9.86,6.32
50000,495813.18,317422.20,9.91,6.34
