n,c,s,c/n,s/n
1000,7989.42,4308.38,7.98,4.30
2000,16730.39,9085.69,8.36,4.54
3000,25478.08,13801.74,8.49,4.60
4000,34015.73,18435.11,8.50,4.60
5000,43141.25,23496.13,8.62,4.69
6000,51514.18,27950.97,8.58,4.65
7000,60760.97,32983.44,8.68,4.71
8000,69487.05,37706.43,8.68,4.71
9000,77663.42,42230.05,8.62,4.69
10000,87782.62,47611.86,8.77,4.76
11000,96957.26,52473.68,8.81,4.77
12000,104120.00,56399.31,8.67,4.69
13000,114247.92,61785.64,8.78,4.75
14000,123151.35,66934.86,8.79,4.78
15000,132412.26,72144.01,8.82,4.80
16000,141595.50,76708.88,8.84,4.79
17000,149735.80,81284.27,8.80,4.78
18000,158115.53,86039.52,8.78,4.77
19000,168013.09,90997.37,8.84,4.78
20000,177374.88,96457.86,8.86,4.82
21000,185722.70,100659.71,8.84,4.79
22000,195166.77,106009.37,8.87,4.81
23000,201685.42,109388.50,8.76,4.75
24000,213714.43,115621.81,8.90,4.81
25000,222826.84,120705.86,8.91,4.82
26000,229518.93,124326.78,8.82,4.78
27000,240679.21,130336.54,8.91,4.82
28000,248664.71,134962.88,8.88,4.82
29000,256730.84,139274.45,8.85,4.80
30000,267267.66,144598.51,8.90,4.81
31000,275055.99,149384.69,8.87,4.81
32000,285639.74,155256.71,8.92,4.85
33000,291025.75,158025.57,8.81,4.78
34000,302432.86,163949.44,8.89,4.82
35000,310244.84,168493.26,8.86,4.81
36000,321533.63,174412.17,8.93,4.84
37000,328306.36,178189.39,8.87,4.81
38000,340551.37,184470.46,8.96,4.85
39000,347452.05,188284.12,8.90,4.82
40000,357951.64,194083.09,8.94,4.85
41000,364210.15,197238.44,8.88,4.81
42000,372950.60,202588.22,8.87,4.82
43000,386201.09,208909.63,8.98,4.85
44000,395104.48,214088.27,8.97,4.86
45000,402651.75,218301.73,8.94,4.85
46000,410967.25,222736.27,8.93,4.84
47000,423431.13,228827.39,9.00,4.86
48000,430195.01,233480.67,8.96,4.86
49000,439051.58,238289.09,8.96,4.86
50000,446096.44,242242.65,8.92,4.84
