n,c,s,c/n,s/n
1000,9166.21,4392.93,9.16,4.39
2000,19502.71,9315.03,9.75,4.65
3000,29561.86,14088.79,9.85,4.69
4000,40382.28,19267.25,10.09,4.81
5000,51636.17,24622.01,10.32,4.92
6000,61956.01,29630.80,10.32,4.93
7000,72482.80,34560.17,10.35,4.93
8000,83453.03,39660.10,10.43,4.95
9000,93058.06,44458.33,10.33,4.93
10000,105557.17,50280.37,10.55,5.02
11000,114893.38,54595.28,10.44,4.96
12000,127425.44,60804.53,10.61,5.06
13000,138851.17,66149.50,10.68,5.08
14000,148003.96,70435.80,10.57,5.03
15000,160790.24,76324.58,10.71,5.08
16000,171692.15,81694.87,10.73,5.10
17000,183662.90,87536.53,10.80,5.14
18000,193803.83,92208.35,10.76,5.12
19000,203429.70,96767.49,10.70,5.09
20000,215312.44,102828.72,10.76,5.14
21000,225961.37,107530.90,10.76,5.12
22000,237211.33,112825.93,10.78,5.12
23000,249236.18,118750.23,10.83,5.16
24000,260969.04,124220.75,10.87,5.17
25000,272351.39,129336.64,10.89,5.17
26000,284151.11,134818.80,10.92,5.18
27000,293335.77,139729.75,10.86,5.17
28000,307780.10,145685.64,10.99,5.20
29000,317836.27,151005.68,10.95,5.20
30000,328297.98,155710.41,10.94,5.19
31000,341105.94,161744.08,11.00,5.21
32000,349980.16,166281.45,10.93,5.19
33000,365138.35,173406.51,11.06,5.25
34000,375643.41,178146.75,11.04,5.23
35000,388469.62,184124.99,11.09,5.26
36000,397300.71,188940.44,11.03,5.24
37000,410376.83,195005.80,11.09,5.27
38000,421324.76,200014.93,11.08,5.26
39000,434160.22,206242.70,11.13,5.28
40000,441440.79,209190.67,11.03,5.22
41000,443050.90,210912.71,10.80,5.14
42000,465993.62,220479.75,11.09,5.24
43000,475871.25,226329.04,11.06,5.26
44000,489096.34,232109.14,11.11,5.27
45000,498255.44,236634.94,11.07,5.25
46000,510859.57,242527.75,11.10,5.27
47000,524194.51,248866.32,11.15,5.29
48000,534599.06,253324.08,11.13,5.27
49000,546515.06,259708.58,11.15,5.30
50000,557326.83,264943.10,11.14,5.29
