n,c,s,c/n,s/n
10,28.73,21.57,2.87,2.15
20,85.89,34.48,4.29,1.72
30,153.67,54.13,5.12,1.80
40,228.94,75.24,5.72,1.88
50,314.55,100.50,6.29,2.01
