n,c,s,c/n,s/n
10,24.13,13.23,2.41,1.32
20,67.12,45.15,3.35,2.25
30,121.39,80.23,4.04,2.67
40,184.21,121.55,4.60,3.03
50,243.93,171.40,4.87,3.42
