n,c,s,c/n,s/n
10,28.77,21.58,2.87,2.15
20,108.44,91.83,5.42,4.59
30,243.48,217.38,8.11,7.24
40,423.53,387.43,10.58,9.68
50,639.54,593.93,12.79,11.87
