n,c,s,c/n,s/n
10,51.79,8.46,5.17,.84
20,132.36,22.10,6.61,1.10
30,222.15,36.84,7.40,1.22
40,318.14,53.28,7.95,1.33
50,418.96,70.62,8.37,1.41
