n,c,s,c/n,s/n
1000,9412.49,5997.79,9.41,5.99
2000,19079.88,12162.46,9.53,6.08
3000,29022.24,18471.69,9.67,6.15
4000,38768.68,24755.77,9.69,6.18
5000,48453.08,31033.82,9.69,6.20
6000,58367.93,37355.49,9.72,6.22
7000,68286.93,43663.15,9.75,6.23
8000,78286.78,49972.45,9.78,6.24
9000,88065.52,56349.20,9.78,6.26
10000,98221.06,62853.48,9.82,6.28
11000,107681.40,68950.83,9.78,6.26
12000,117567.01,75247.06,9.79,6.27
13000,128418.58,81834.37,9.87,6.29
14000,137932.45,88058.21,9.85,6.28
15000,147584.09,94319.66,9.83,6.28
16000,157664.22,100861.15,9.85,6.30
17000,167550.54,107049.00,9.85,6.29
18000,177470.63,113399.24,9.85,6.29
19000,187778.11,120089.55,9.88,6.32
20000,197272.50,126186.90,9.86,6.30
21000,208059.07,132613.01,9.90,6.31
22000,217632.58,138911.08,9.89,6.31
23000,227430.64,145499.98,9.88,6.32
24000,237668.26,151600.82,9.90,6.31
25000,247716.38,158216.22,9.90,6.32
26000,257418.06,164395.74,9.90,6.32
27000,266718.37,170821.62,9.87,6.32
28000,277951.32,177120.47,9.92,6.32
29000,286252.43,183170.28,9.87,6.31
30000,296616.04,189800.50,9.88,6.32
31000,305920.46,196161.18,9.86,6.32
32000,317808.37,202862.05,9.93,6.33
33000,327117.52,209150.75,9.91,6.33
34000,337370.74,215347.95,9.92,6.33
35000,346809.56,221838.50,9.90,6.33
36000,356345.36,228384.42,9.89,6.34
37000,366317.42,234195.85,9.90,6.32
38000,376537.06,240469.31,9.90,6.32
39000,385102.37,246882.54,9.87,6.33
40000,394773.66,253758.67,9.86,6.34
41000,405438.66,260024.93,9.88,6.34
42000,415380.38,266087.45,9.89,6.33
43000,426990.27,272775.23,9.93,6.34
44000,435479.93,278370.07,9.89,6.32
45000,445837.14,285444.33,9.90,6.34
46000,456048.70,292470.59,9.91,6.35
47000,465858.75,298241.10,9.91,6.34
48000,475299.78,304056.50,9.90,6.33
49000,486592.15,310715.96,9.93,6.34
50000,497587.89,317854.40,9.95,6.35
