n,c,s,c/n,s/n
1000,8656.54,5134.34,8.65,5.13
2000,17722.23,10515.46,8.86,5.25
3000,26874.78,15981.22,8.95,5.32
4000,35826.86,21348.34,8.95,5.33
5000,44896.80,26847.00,8.97,5.36
6000,53953.11,32071.22,8.99,5.34
7000,63233.58,37701.90,9.03,5.38
8000,72757.83,43299.90,9.09,5.41
9000,81525.90,48654.55,9.05,5.40
10000,90413.14,54069.30,9.04,5.40
11000,100194.36,59758.57,9.10,5.43
12000,109374.40,65244.78,9.11,5.43
13000,118829.00,70738.62,9.14,5.44
14000,128336.35,76357.39,9.16,5.45
15000,136915.15,81726.29,9.12,5.44
16000,145984.53,87265.26,9.12,5.45
17000,155279.41,92698.36,9.13,5.45
18000,164282.54,98154.68,9.12,5.45
19000,174228.25,103966.96,9.16,5.47
20000,183643.13,108984.82,9.18,5.44
21000,193235.84,114994.00,9.20,5.47
22000,202281.99,120347.99,9.19,5.47
23000,211134.62,126104.88,9.17,5.48
24000,219685.80,131141.62,9.15,5.46
25000,229729.39,136911.44,9.18,5.47
26000,238317.74,142260.66,9.16,5.47
27000,247987.59,148191.22,9.18,5.48
28000,258520.04,153740.76,9.23,5.49
29000,266542.82,159237.88,9.19,5.49
30000,275480.93,164801.39,9.18,5.49
31000,286062.97,170199.69,9.22,5.49
32000,294293.31,175278.75,9.19,5.47
33000,302970.32,180913.65,9.18,5.48
34000,313172.15,186556.17,9.21,5.48
35000,322861.97,192539.27,9.22,5.50
36000,331651.85,197795.21,9.21,5.49
37000,340206.92,203667.74,9.19,5.50
38000,349870.53,208639.92,9.20,5.49
39000,359801.84,214369.01,9.22,5.49
40000,367627.42,220033.83,9.19,5.50
41000,377740.58,225267.66,9.21,5.49
42000,387371.18,230689.16,9.22,5.49
43000,396983.75,236300.88,9.23,5.49
44000,405489.77,242030.74,9.21,5.50
45000,414469.05,247534.30,9.21,5.50
46000,422590.04,253470.79,9.18,5.51
47000,433423.50,258891.74,9.22,5.50
48000,442033.75,263918.03,9.20,5.49
49000,452656.18,270015.34,9.23,5.51
50000,461567.39,275262.32,9.23,5.50
