n,c,s,c/n,s/n
1000,9400.55,4498.92,9.40,4.49
2000,19592.34,9340.40,9.79,4.67
3000,29987.65,14323.50,9.99,4.77
4000,40554.07,19352.12,10.13,4.83
5000,51318.26,24491.39,10.26,4.89
6000,62252.72,29694.72,10.37,4.94
7000,72751.15,34736.64,10.39,4.96
8000,83954.26,40019.70,10.49,5.00
9000,95087.49,45313.53,10.56,5.03
10000,105153.72,50121.10,10.51,5.01
11000,116536.44,55494.89,10.59,5.04
12000,128069.95,60925.23,10.67,5.07
13000,138372.38,65865.84,10.64,5.06
14000,148862.89,70697.80,10.63,5.04
15000,160946.66,76443.04,10.72,5.09
16000,172845.51,82316.57,10.80,5.14
17000,183309.26,87219.71,10.78,5.13
18000,194236.52,92114.44,10.79,5.11
19000,205480.60,97820.31,10.81,5.14
20000,214209.96,101993.87,10.71,5.09
21000,228829.56,108612.64,10.89,5.17
22000,239531.76,113905.96,10.88,5.17
23000,251490.14,119256.32,10.93,5.18
24000,261651.69,124327.28,10.90,5.18
25000,273737.86,130198.75,10.94,5.20
26000,285332.89,135912.48,10.97,5.22
27000,296105.33,141033.77,10.96,5.22
28000,306838.30,145736.76,10.95,5.20
29000,319246.16,151631.14,11.00,5.22
30000,329770.31,156588.81,10.99,5.21
31000,340667.37,162025.95,10.98,5.22
32000,353105.76,167797.81,11.03,5.24
33000,362220.11,172540.60,10.97,5.22
34000,375251.12,178307.19,11.03,5.24
35000,388952.90,184263.61,11.11,5.26
36000,397453.68,188387.35,11.04,5.23
37000,409928.80,194634.77,11.07,5.26
38000,419994.88,199668.93,11.05,5.25
39000,432706.64,205622.75,11.09,5.27
40000,443051.77,210169.38,11.07,5.25
41000,454961.84,216506.54,11.09,5.28
42000,469111.22,222727.43,11.16,5.30
43000,479433.67,227524.14,11.14,5.29
44000,490207.27,232594.08,11.14,5.28
45000,501274.98,238017.21,11.13,5.28
46000,511810.58,242408.15,11.12,5.26
47000,525176.13,249352.49,11.17,5.30
48000,535488.50,254250.65,11.15,5.29
49000,548057.63,260324.38,11.18,5.31
50000,559531.77,265364.15,11.19,5.30
