n,cmp,ptr,h,mcmp,mptr,mh
70000,43.8722,181.16,48.2978,123863,495452,30967
70000,43.8341,180.998,45.7429,94349,377395,23590
70000,43.8795,181.181,45.3517,77149,308595,31426
70000,43.9484,181.445,43.5413,76841,307363,31582
70000,43.8979,181.242,45.3716,109337,437347,27336
70000,43.8365,180.979,45.9727,87445,349779,26278
70000,43.867,181.135,46.7705,79557,318227,30222
80000,44.4753,183.681,48.6368,113035,452140,28261
80000,44.4195,183.444,51.0629,121977,487907,30495
80000,44.4442,183.523,48.2844,110927,443708,27733
80000,44.4608,183.599,46.5868,128551,514204,32139
80000,44.4309,183.497,49.6693,123989,495955,30998
90000,44.8908,185.409,48.9674,118463,473852,30770
90000,44.9095,185.495,48.2653,126835,507340,31710
90000,44.9266,185.567,48.2876,116731,466924,31635
