n,c,s,c/n,s/n
1000,8179.29,4426.56,8.17,4.42
2000,16881.55,9113.58,8.44,4.55
3000,25417.71,13810.64,8.47,4.60
4000,34223.96,18573.41,8.55,4.64
5000,43110.41,23440.25,8.62,4.68
6000,52114.02,28219.46,8.68,4.70
7000,60687.71,32947.56,8.66,4.70
8000,69641.70,37757.03,8.70,4.71
9000,78722.68,42588.68,8.74,4.73
10000,87367.30,47467.29,8.73,4.74
11000,96669.65,52260.12,8.78,4.75
12000,105661.74,57325.51,8.80,4.77
13000,114194.83,61924.55,8.78,4.76
14000,123162.73,66714.00,8.79,4.76
15000,132643.19,71904.42,8.84,4.79
16000,141204.60,76607.43,8.82,4.78
17000,149854.40,81412.42,8.81,4.78
18000,159675.30,86299.28,8.87,4.79
19000,168535.55,91347.99,8.87,4.80
20000,176632.39,95988.32,8.83,4.79
21000,186596.36,101061.77,8.88,4.81
22000,195233.12,105801.19,8.87,4.80
23000,203958.20,110578.13,8.86,4.80
24000,213411.98,115675.73,8.89,4.81
25000,223419.72,120736.45,8.93,4.82
26000,230697.19,125358.13,8.87,4.82
27000,239108.41,130259.88,8.85,4.82
28000,248716.49,135228.64,8.88,4.82
29000,259002.76,139910.46,8.93,4.82
30000,267744.54,144664.79,8.92,4.82
31000,275226.92,149598.55,8.87,4.82
32000,285003.39,154712.88,8.90,4.83
33000,294105.81,159444.04,8.91,4.83
34000,303266.24,164392.23,8.91,4.83
35000,312411.11,169544.26,8.92,4.84
36000,321328.69,174322.06,8.92,4.84
37000,329960.62,179551.49,8.91,4.85
38000,338037.37,183351.40,8.89,4.82
39000,347954.78,188880.74,8.92,4.84
40000,357213.02,193233.13,8.93,4.83
41000,366258.50,198270.02,8.93,4.83
42000,374801.38,203465.05,8.92,4.84
43000,387073.45,209113.59,9.00,4.86
44000,394564.78,213334.39,8.96,4.84
45000,401728.96,218280.15,8.92,4.85
46000,410560.54,222940.61,8.92,4.84
47000,421480.37,228304.95,8.96,4.85
48000,430277.53,232995.81,8.96,4.85
49000,438776.53,237858.29,8.95,4.85
50000,447658.42,242737.02,8.95,4.85
