n,c,s,c/n,s/n
1000,8570.62,5075.83,8.57,5.07
2000,17587.07,10471.37,8.79,5.23
3000,26655.76,15847.89,8.88,5.28
4000,35769.42,21282.74,8.94,5.32
5000,44779.22,26621.78,8.95,5.32
6000,53900.97,32118.63,8.98,5.35
7000,63151.43,37682.52,9.02,5.38
8000,72032.16,43141.97,9.00,5.39
9000,81596.60,48605.06,9.06,5.40
10000,90583.91,53940.65,9.05,5.39
11000,100219.33,59565.23,9.11,5.41
12000,109171.36,65147.87,9.09,5.42
13000,118699.16,70712.61,9.13,5.43
14000,128212.91,76345.84,9.15,5.45
15000,136676.57,81450.43,9.11,5.43
16000,146376.46,87138.36,9.14,5.44
17000,155483.15,92633.08,9.14,5.44
18000,164578.36,98182.47,9.14,5.45
19000,173819.92,103733.08,9.14,5.45
20000,182971.56,109419.62,9.14,5.47
21000,192188.47,114615.75,9.15,5.45
22000,202282.91,120352.17,9.19,5.47
23000,211479.18,125735.82,9.19,5.46
24000,220564.86,131436.85,9.19,5.47
25000,229759.23,136603.30,9.19,5.46
26000,239195.67,142315.53,9.19,5.47
27000,247664.43,147889.36,9.17,5.47
28000,256713.75,153511.25,9.16,5.48
29000,266485.79,158765.13,9.18,5.47
30000,275025.00,164195.85,9.16,5.47
31000,286113.54,170259.43,9.22,5.49
32000,292818.94,175060.64,9.15,5.47
33000,303375.80,181073.87,9.19,5.48
34000,312416.71,186440.08,9.18,5.48
35000,322433.34,192130.23,9.21,5.48
36000,332129.30,197691.65,9.22,5.49
37000,340516.01,203268.53,9.20,5.49
38000,350909.19,208813.19,9.23,5.49
39000,359372.06,214333.75,9.21,5.49
40000,367400.51,219375.10,9.18,5.48
41000,377589.85,225249.79,9.20,5.49
42000,386524.45,231022.29,9.20,5.50
43000,396533.44,236275.34,9.22,5.49
44000,404116.98,241125.12,9.18,5.48
45000,414408.55,247757.92,9.20,5.50
46000,425290.28,253298.63,9.24,5.50
47000,433331.23,258260.78,9.21,5.49
48000,442823.80,263816.81,9.22,5.49
49000,451815.59,269318.64,9.22,5.49
50000,461566.65,274877.78,9.23,5.49
