n,c,s,c/n,s/n
1000,9416.69,4511.38,9.41,4.51
2000,19428.79,9294.68,9.71,4.64
3000,30010.35,14276.42,10.00,4.75
4000,40407.85,19241.71,10.10,4.81
5000,51271.55,24484.66,10.25,4.89
6000,62243.08,29576.38,10.37,4.92
7000,73043.48,34789.60,10.43,4.96
8000,83702.91,39856.26,10.46,4.98
9000,94934.40,45274.56,10.54,5.03
10000,105558.32,50320.60,10.55,5.03
11000,116543.93,55364.53,10.59,5.03
12000,127427.55,60591.23,10.61,5.04
13000,138726.89,66219.13,10.67,5.09
14000,150255.22,71469.43,10.73,5.10
15000,161924.44,76910.64,10.79,5.12
16000,172465.44,81918.63,10.77,5.11
17000,183700.50,87311.59,10.80,5.13
18000,193910.06,92266.53,10.77,5.12
19000,205570.20,97826.19,10.81,5.14
20000,216065.88,102949.39,10.80,5.14
21000,227724.11,108106.27,10.84,5.14
22000,241362.56,114544.73,10.97,5.20
23000,250448.86,119185.31,10.88,5.18
24000,261456.71,124113.11,10.89,5.17
25000,273452.35,130085.90,10.93,5.20
26000,284983.27,135402.75,10.96,5.20
27000,296270.58,140801.54,10.97,5.21
28000,306693.88,146002.23,10.95,5.21
29000,318681.80,151599.20,10.98,5.22
30000,327866.95,155845.30,10.92,5.19
31000,341614.37,162327.39,11.01,5.23
32000,352407.73,167658.99,11.01,5.23
33000,361492.60,171571.91,10.95,5.19
34000,376204.99,178563.83,11.06,5.25
35000,387758.30,184100.95,11.07,5.26
36000,397299.27,188960.63,11.03,5.24
37000,407964.91,194126.24,11.02,5.24
38000,418504.17,199214.85,11.01,5.24
39000,432796.75,205689.91,11.09,5.27
40000,442918.56,211327.11,11.07,5.28
41000,453783.63,215461.91,11.06,5.25
42000,467470.13,221894.90,11.13,5.28
43000,479769.84,227250.25,11.15,5.28
44000,488314.54,232500.48,11.09,5.28
45000,500806.19,237864.06,11.12,5.28
46000,513142.05,243408.83,11.15,5.29
47000,526829.64,249590.60,11.20,5.31
48000,534282.41,253844.99,11.13,5.28
49000,546339.21,259013.46,11.14,5.28
50000,558249.51,264673.68,11.16,5.29
